Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Vinnie Pasquantino","KCR",131,554,19,64,97,1,0.072202166,0.128158844,0.183467742,0.264916467,0.262096774,0.314647377,0.445564516,0.3245793902787609,0.33062658448150195,109.35585912334045,-1.4579726159572601,4.472633018616761,-8.143018007278442,1.5184558307946037,"Vinnie Pasquantino",27676,686469
"Kyle Isbel","KCR",136,426,8,62,42,11,0.063380281,0.206572769,0.138020834,0.275862068,0.229166666,0.287081339,0.3671875,0.28624969877694784,0.2810467507341783,82.39397136482907,4.02238679677248,-4.559378056212978,4.988017439842224,1.5033764655140434,"Kyle Isbel",21614,664728
"Luis Rengifo","LAA",78,304,6,41,30,24,0.052631578,0.144736842,0.116607774,0.339055793,0.300353356,0.346534653,0.41696113,0.3346977892881966,0.2949995538189073,118.2581900565562,2.070713497698307,8.421637480412603,-4.098532736301422,1.4877215206760006,"Luis Rengifo",19858,650859
"Trevor Larnach","MIN",112,400,15,59,52,4,0.1,0.2225,0.174647887,0.304347826,0.259154929,0.3375,0.433802816,0.33586232494889645,0.34235347575278735,119.92666296585767,-1.7342426925897598,7.385869355563852,-6.44172215461731,1.4675634292264415,"Trevor Larnach",21501,663616
"Gavin Lux","LAD",139,487,10,59,50,5,0.090349075,0.225872689,0.132118451,0.311526479,0.250569476,0.320328542,0.382687927,0.3096331884239244,0.3147302057325225,98.23376589174414,0.8102017194032669,-0.2183793164608041,-2.1422853469848633,1.4379659327091987,"Gavin Lux",19955,666158
"Kevin Newman","ARI",111,311,3,41,28,8,0.048231511,0.154340836,0.097222223,0.322175732,0.277777777,0.311475409,0.375,0.2984641043371276,0.2718344458652408,89.15891557012881,0.8895618990063667,-3.142195578692526,6.505220174789429,1.4213100952498514,"Kevin Newman",17696,621028
"Zack Gelof","OAK",138,547,17,60,49,25,0.069469835,0.34369287,0.150905433,0.296296296,0.211267605,0.270220588,0.362173038,0.2764205327805351,0.27093508669465066,82.200735945859,4.2547395676374435,-6.885511525350099,2.48968043923378,1.4195574590380642,"Zack Gelof",29766,680869
"Jake Burger","MIA",137,579,29,68,76,1,0.053540587,0.259067357,0.209345795,0.291666666,0.250467289,0.300518134,0.459813084,0.3254176387547207,0.3378220929039849,106.84497994754297,-0.6908395513892174,4.048436742999753,-9.663651704788208,1.4195494077075046,"Jake Burger",22275,669394
"Ryan Mountcastle","BAL",124,507,13,54,63,3,0.053254437,0.224852071,0.154334038,0.326704545,0.270613107,0.307692307,0.424947145,0.3155164792692873,0.33168919378589734,107.14536362712484,-0.8437530621886253,3.3013745147454676,-6.371810674667358,1.4194358328301417,"Ryan Mountcastle",18373,663624
"Jesse Winker","- - -",145,508,14,63,58,14,0.124015748,0.208661417,0.15116279,0.303514376,0.253488372,0.359683794,0.404651162,0.33783508328691364,0.32921015270172604,117.72708194395852,-2.8277432322502136,7.940931242386318,-11.521525382995605,1.3844942431535114,"Jesse Winker",13590,608385
"Lane Thomas","- - -",130,528,15,65,63,32,0.083333333,0.259469696,0.163135593,0.298461538,0.237288135,0.308712121,0.400423728,0.3088420941662291,0.3073699705062374,98.8000188321762,3.9686601608991623,3.363313449788568,-7.653810888528824,1.3749717803427377,"Lane Thomas",16939,657041
"Ben Rortvedt","TBR",112,328,3,27,31,1,0.103658536,0.268292682,0.075862069,0.316582914,0.227586206,0.31707317,0.303448275,0.283089577061374,0.26749148690627395,86.97182020926962,-1.0634082406759262,-5.952894098714414,8.319672882556915,1.3678798601619748,"Ben Rortvedt",20287,666163
"Yasmani Grandal","PIT",72,243,9,26,27,1,0.098765432,0.189300411,0.172093024,0.248447204,0.227906976,0.304166666,0.4,0.3082559163371722,0.32511310577392577,95.2260946269734,-1.058651864528656,-2.4458591604360866,7.520938873291016,1.363301056686588,"Yasmani Grandal",11368,518735
"Nick Gonzales","PIT",94,387,7,42,49,5,0.046511627,0.19121447,0.128133704,0.319148936,0.270194986,0.310880829,0.39832869,0.3070752961294992,0.31740257322943866,94.43145630024061,0.18814584612846375,-2.3888509676399536,2.457613229751587,1.3435389769108563,"Nick Gonzales",27490,693304
"LaMonte Wade Jr.","SFG",117,401,8,45,34,2,0.154613466,0.224438902,0.120845921,0.330508474,0.259818731,0.38,0.380664652,0.3374564818189114,0.3544411188439478,119.16498100314278,-1.9709852412343025,7.218983837051054,-7.622868657112122,1.3430716307695543,"LaMonte Wade Jr.",18126,664774
"Rob Refsnyder","BOS",93,307,11,32,40,2,0.091205211,0.254071661,0.1875,0.358695652,0.283088235,0.359477124,0.470588235,0.35831892098251145,0.3262784347282385,131.41282800834287,-1.2015253752470016,9.832932963893203,-7.036160945892334,1.3403607475030817,"Rob Refsnyder",13770,608701
